,playerID,stint,W,L,G,GS,CG,SHO,SV,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP
420,harnipe01,16.0,111.0,103.0,321.0,318.0,24.0,11.0,0.0,1822.0,846.0,223.0,716.0,1368.0,0.2349285714285714,3.886676875957121,35.0,50.0,49.0,12.0,8332.0,1.0,926.0,1.0,7.0,0.0,1959.0
421,ellswdi01,17.0,115.0,137.0,407.0,310.0,87.0,9.0,5.0,2274.0,890.0,194.0,595.0,1140.0,0.282,3.7157878459873213,71.0,72.0,45.0,1.0,9156.0,36.0,1033.0,0.0,0.0,0.0,2155.666666666666
422,durbich01,16.0,43.0,47.0,456.0,75.0,3.0,0.0,5.0,898.0,467.0,123.0,365.0,577.0,0.26860000000000006,5.0255081705858915,26.0,35.0,44.0,0.0,3725.0,82.0,512.0,17.0,37.0,0.0,836.3333333333333
423,linebsc01,18.0,42.0,31.0,607.0,6.0,0.0,0.0,8.0,630.0,256.0,82.0,229.0,567.0,0.27219999999999994,3.508629441624365,33.0,44.0,27.0,0.0,2778.0,156.0,280.0,18.0,21.0,0.0,656.6666666666667
424,mullige01,16.0,228.0,196.0,487.0,428.0,353.0,35.0,8.0,3518.0,1156.0,42.0,1238.0,1482.0,1.5506666666666666,2.8220614828209762,0.0,85.0,131.0,2.0,15638.0,50.0,1636.0,0.0,0.0,0.0,3686.666666666667
425,perraro01,17.0,79.0,74.0,737.0,1.0,0.0,0.0,179.0,1097.0,364.0,50.0,468.0,687.0,0.25666666666666665,2.788876276958002,121.0,28.0,24.0,4.0,5023.0,458.0,442.0,0.0,0.0,0.0,1174.6666666666667
426,affelje01,16.0,43.0,46.0,774.0,42.0,0.0,0.0,28.0,904.0,408.0,76.0,396.0,720.0,0.25473333333333337,3.9654427645788335,41.0,55.0,42.0,9.0,4034.0,162.0,455.0,42.0,25.0,6.0,926.0
427,benesan01,16.0,155.0,139.0,403.0,387.0,21.0,9.0,1.0,2377.0,1106.0,289.0,909.0,2000.0,0.22564285714285717,3.9731240021287917,52.0,63.0,55.0,16.0,10645.0,6.0,1206.0,17.0,17.0,0.0,2505.3333333333335
428,smithsh01,16.0,114.0,118.0,373.0,224.0,142.0,16.0,21.0,2234.0,757.0,57.0,440.0,428.0,0.3266666666666667,3.31909710945112,0.0,17.0,42.0,3.0,8663.0,108.0,964.0,0.0,0.0,0.0,2052.666666666667
429,hitchst01,17.0,74.0,76.0,281.0,200.0,10.0,2.0,3.0,1374.0,685.0,181.0,471.0,997.0,0.2586428571428571,4.79517759917034,25.0,61.0,42.0,11.0,5635.0,27.0,738.0,9.0,9.0,0.0,1285.6666666666665
430,richepe01,17.0,80.0,73.0,429.0,122.0,22.0,3.0,51.0,959.0,413.0,116.0,424.0,925.0,0.222,3.1887331998856165,46.0,33.0,16.0,5.0,4817.0,161.0,463.0,0.0,0.0,0.0,1165.6666666666665
431,siebeso01,18.0,140.0,114.0,399.0,307.0,67.0,21.0,16.0,1919.0,767.0,197.0,692.0,1512.0,0.24933333333333335,3.2077137546468406,55.0,60.0,54.0,8.0,8951.0,42.0,907.0,0.0,0.0,0.0,2151.9999999999995
432,mullato01,17.0,284.0,220.0,555.0,504.0,468.0,30.0,15.0,4195.0,1537.0,98.0,1408.0,1803.0,0.2625,3.052743857584228,0.0,165.0,82.0,1.0,10812.0,52.0,2523.0,0.0,0.0,0.0,4531.333333333334
433,arroybr01,15.0,145.0,131.0,405.0,369.0,16.0,6.0,1.0,2413.0,1100.0,324.0,642.0,1526.0,0.2624666666666667,4.186636594305047,58.0,41.0,103.0,6.0,10016.0,6.0,1201.0,86.0,62.0,14.0,2364.6666666666665
434,odombl01,18.0,84.0,85.0,295.0,229.0,40.0,15.0,1.0,1362.0,620.0,103.0,788.0,857.0,0.26799999999999996,3.6978131212723664,40.0,92.0,36.0,3.0,6528.0,21.0,708.0,0.0,0.0,0.0,1508.9999999999998
435,seleaa01,15.0,148.0,112.0,404.0,352.0,15.0,9.0,0.0,2413.0,1102.0,225.0,798.0,1407.0,0.2591428571428572,4.606595448211798,39.0,54.0,112.0,2.0,9534.0,15.0,1208.0,29.0,55.0,0.0,2153.0
436,powerte01,17.0,68.0,69.0,564.0,85.0,5.0,3.0,70.0,1159.0,515.0,97.0,452.0,701.0,0.26666666666666666,3.9956896551724146,73.0,32.0,17.0,10.0,4982.0,233.0,568.0,0.0,0.0,0.0,1159.9999999999998
437,gottji01,16.0,56.0,74.0,554.0,96.0,10.0,3.0,91.0,1081.0,481.0,85.0,466.0,837.0,0.2573333333333334,3.8651785714285722,63.0,52.0,23.0,15.0,4828.0,261.0,546.0,0.0,0.0,0.0,1119.9999999999998
438,tidrodi01,17.0,100.0,94.0,620.0,138.0,32.0,5.0,55.0,1705.0,715.0,163.0,579.0,975.0,0.26533333333333337,3.684160305343511,112.0,32.0,43.0,2.0,7412.0,244.0,807.0,0.0,0.0,0.0,1746.666666666667
439,browncl01,15.0,89.0,93.0,434.0,130.0,62.0,8.0,64.0,1740.0,704.0,84.0,368.0,410.0,0.29533333333333334,4.264752075387032,0.0,18.0,20.0,0.0,6495.0,249.0,830.0,0.0,0.0,0.0,1485.6666666666665
440,sturdto01,21.0,59.0,51.0,335.0,101.0,22.0,7.0,17.0,1029.0,473.0,107.0,449.0,704.0,0.24666666666666662,3.7440633245382577,37.0,39.0,34.0,3.0,4796.0,99.0,521.0,0.0,0.0,0.0,1137.0000000000002
441,wellski01,18.0,69.0,103.0,296.0,219.0,3.0,2.0,2.0,1390.0,700.0,151.0,635.0,963.0,0.2614,4.7073474470734755,53.0,67.0,70.0,3.0,5970.0,24.0,773.0,62.0,43.0,0.0,1338.333333333333
442,daviscu01,17.0,158.0,131.0,429.0,281.0,141.0,24.0,33.0,2459.0,884.0,142.0,479.0,684.0,0.2766666666666666,3.4219354838709686,0.0,20.0,47.0,2.0,9752.0,111.0,1033.0,0.0,0.0,0.0,2324.9999999999995
443,tapanke01,17.0,143.0,125.0,361.0,354.0,26.0,9.0,0.0,2407.0,1094.0,260.0,554.0,1482.0,0.23928571428571432,4.347019867549669,30.0,44.0,53.0,6.0,9600.0,1.0,1168.0,16.0,6.0,0.0,2265.0
444,campbbi02,15.0,83.0,68.0,700.0,9.0,2.0,1.0,126.0,1139.0,484.0,82.0,495.0,864.0,0.25333333333333335,3.5433839479392626,100.0,47.0,20.0,6.0,5239.0,455.0,550.0,0.0,0.0,0.0,1229.3333333333333
445,belchti01,16.0,146.0,140.0,394.0,373.0,42.0,18.0,5.0,2423.0,1130.0,264.0,860.0,1519.0,0.22935714285714284,4.163482532751091,43.0,73.0,58.0,10.0,10422.0,13.0,1253.0,1.0,1.0,0.0,2442.666666666667
446,olivaom01,18.0,77.0,86.0,349.0,229.0,16.0,2.0,4.0,1678.0,826.0,159.0,685.0,853.0,0.2322857142857143,4.670575916230367,30.0,46.0,80.0,7.0,6966.0,42.0,889.0,3.0,11.0,0.0,1591.6666666666667
447,carlsha01,16.0,114.0,120.0,377.0,238.0,121.0,17.0,19.0,2256.0,883.0,93.0,498.0,590.0,0.2933333333333333,3.9695304695304694,0.0,18.0,36.0,2.0,8522.0,96.0,1013.0,0.0,0.0,0.0,2002.0
448,nunezed01,17.0,28.0,36.0,427.0,14.0,0.0,0.0,54.0,666.0,304.0,74.0,280.0,508.0,0.272,4.194174757281554,38.0,23.0,19.0,10.0,2866.0,211.0,345.0,0.0,0.0,0.0,652.3333333333333
449,helliri01,18.0,93.0,81.0,301.0,234.0,10.0,4.0,0.0,1540.0,793.0,247.0,562.0,1058.0,0.2245,4.675911771129067,24.0,48.0,48.0,4.0,6564.0,22.0,842.0,22.0,30.0,0.0,1526.3333333333335
450,nathajo01,15.0,62.0,34.0,777.0,29.0,0.0,0.0,377.0,685.0,294.0,84.0,340.0,967.0,0.16606666666666667,2.885496183206107,31.0,46.0,23.0,2.0,3743.0,586.0,317.0,23.0,24.0,4.0,916.9999999999999
451,lonboji01,15.0,157.0,137.0,425.0,368.0,90.0,15.0,4.0,2400.0,1056.0,233.0,823.0,1475.0,0.2593333333333333,3.8566211280941434,71.0,73.0,105.0,9.0,10498.0,24.0,1170.0,0.0,0.0,0.0,2464.333333333333
452,murphto02,18.0,68.0,101.0,439.0,147.0,22.0,3.0,59.0,1425.0,606.0,123.0,493.0,621.0,0.27599999999999997,3.7770083102493075,73.0,67.0,63.0,2.0,6091.0,204.0,664.0,0.0,0.0,0.0,1444.0
453,zitoba01,15.0,165.0,143.0,433.0,421.0,12.0,5.0,0.0,2381.0,1157.0,282.0,1064.0,1885.0,0.25606666666666666,4.041267787839586,52.0,50.0,97.0,8.0,11001.0,9.0,1254.0,105.0,73.0,0.0,2576.666666666667
454,cicoted01,16.0,208.0,149.0,502.0,361.0,249.0,35.0,25.0,2897.0,853.0,32.0,827.0,1374.0,0.2513333333333334,2.381695966907963,0.0,58.0,49.0,5.0,12657.0,106.0,1149.0,0.0,0.0,0.0,3223.333333333333
